year,round,college_code,college_name,branch_code,branch_name,college_status,college_home_university,seat_pool,category,stage,cutoff_rank,cutoff_percentile
2025,4,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GOPENS,I,28216,91.7377622
2025,4,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GNT2S,I,55787,83.2058578
2025,4,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,,,STATE,GOBCS,I,44981,86.6751751
2025,4,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,,,STATE,DEFOPENS,I,27996,91.7968608
2025,4,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GOPENS,I,13465,96.1512986
2025,4,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,GNT2S,I,24489,92.8770798
2025,4,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,LOPENS,I,15196,95.6356670
2025,4,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,,,STATE,EWS,I,25512,92.5540912
2025,4,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GOPENS,I,25688,92.5218400
2025,4,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GOBCS,I,28160,91.7513251
2025,4,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,GSEBCS,I,50107,85.0571556
2025,4,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,LOBCS,I,21656,93.7361801
2025,4,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,,,STATE,EWS,I,62811,81.0133535
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GOPENS,I,14458,95.8324651
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GSCS,I,34764,89.8231024
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GVJS,I,57875,82.4521073
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,GSEBCS,I,34019,90.0175917
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,LOPENS,I,16085,95.3847746
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,DEFRSEBC,I,113654,61.6834321
2025,4,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,,,STATE,EWS,I,33700,90.0917161
2025,4,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,GOPENS,I,31618,90.6688280
2025,4,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,GVJS,I,114704,60.9090909
2025,4,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,GOBCS,I,34378,89.8617670
2025,4,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,DEFOPENS,I,174647,26.7336064
2025,4,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,,,STATE,EWS,I,67532,79.6033896
2025,4,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,GOPENS,I,34696,89.8231024
2025,4,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,GNT3S,I,57142,82.8372770
2025,4,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,LOPENS,I,35067,89.6827150
2025,4,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,TFWS,I,43009,87.3029561
2025,4,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,,,STATE,LSTS,II,134539,51.5716400
2025,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,,,HOME_TO_HOME,GOBCH,I,80909,76.7694659
2025,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,,,HOME_TO_HOME,LOBCH,I,62939,82.2763176
2025,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,,,OTHER_TO_OTHER,GSCO,I,38096,89.5766345
2025,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,,,OTHER_TO_OTHER,LOPENO,I,42343,88.3220112
2025,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,,,OTHER_TO_OTHER,GSEBCO,I,45570,87.3714390
